排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49896090,418024,D2,57,24,27382,17815,65.06%,4.26%,完结FT,72230
2,天官赐福 第四季,12486025,135791,D2,31,10,13290,7907,59.50%,5.82%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1492770,68056,D2,12,0,10987,0,0.00%,0.00%,歌曲《狮心》（Live）Remix,94789
4,奇洛李维斯回信,56003473,580238,D2,98,41,54302,29338,54.03%,5.06%,OST A12 · 暗恋基本法,85974
5,尾钩,1055930,24094,D2,41,22,2598,1655,63.70%,6.87%,第29集 · 阿姆斯特丹,95503
6,你的雪人能活多久 第一季,1840505,62622,D2,32,10,5994,1518,25.33%,2.42%,第八集 · 爱神降临,93787
7,宋玉章 第一季,4886547,48393,D2,28,5,3409,1486,43.59%,3.07%,第八折 ·  沉溺芳华,86589
8,全职高手广播剧第四季 上,96431,7223,D2,3,0,500,0,0.00%,0.00%,第一集,96092
9,情蛊,42755874,455767,D2,68,49,55145,34260,62.13%,7.52%,4000w福利·山大王,86178
10,天官赐福 第三季,73995343,278798,D2,68,44,34661,28756,82.96%,10.31%,小剧场·元宵·花灯,82040
11,灯花笑 上季,4413577,63058,D2,36,16,8984,2381,26.50%,3.78%,突击采访,94733
12,天官赐福 第一季,89277561,982210,D2,61,43,69163,37405,54.08%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,天官赐福 第二季,75379243,367191,D2,61,43,39235,35723,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,伏特加与曼特宁,2238362,67389,D2,34,9,3878,1700,43.84%,2.52%,第八期,92988
15,我在无限游戏里封神 第四季,8304580,147562,D2,56,15,12243,9692,79.16%,6.57%,特别放送 · emoji大挑战,86834
16,放学等我 第一季,55142990,846476,D2,53,18,61976,35875,57.89%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,一屋暗灯 全一季,13465145,210516,D2,54,14,35093,16379,46.67%,7.78%,主役版主题曲▪未说的,93038
18,藏南晚星,20487648,211228,D2,81,44,21380,15896,74.35%,7.53%,✧2000万福利·番外·美梦,85110
19,放学等我 第二季,32389179,456161,D2,42,16,44420,33841,76.18%,7.42%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298208852,1549628,D2,66,56,97607,89911,92.12%,5.80%,传讯符·忘羡,22602
21,魔道祖师 第一季,260939010,2289406,D2,39,22,97137,64632,66.54%,2.82%,主创FT<下>,15861
22,囚于永夜,1707686,34694,D2,200,161,3544,1165,32.87%,3.36%,番外 少爷的生日7,94916
23,沉浮事,1215635,18588,D2,19,8,1977,1205,60.95%,6.48%,云外篇·第八集,94775
24,魔道祖师 第二季,172030151,1424829,D2,41,37,88905,81649,91.84%,5.73%,主役FT（下）,19059
25,干涸地,2319615,95543,D2,5,2,1384,86,6.21%,0.09%,火风L原著|干涸地·第三集,86725
26,江医生 第一季,17440020,240202,D2,49,27,23356,14325,61.33%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,台风眼 第二季,30188465,165471,D2,50,32,14482,13412,92.61%,8.11%,完结 FT,68664
28,我在无限游戏里封神 第三季,24594876,222797,D2,91,21,30607,22852,74.66%,10.26%,破亿纪念单曲·神明所遗落的,81851
29,台风眼 第一季,36302399,312743,D2,53,20,22459,14022,62.43%,4.48%,千万福利·富士山在等一片云,52404
30,沙子，时间，雨树,149463,8489,D2,7,0,816,0,0.00%,0.00%,"੭""导游和奇怪的客人·埃及博物馆",94825
31,将进酒 第一季,107108102,1451135,D2,59,16,78379,53355,68.07%,3.68%,完结FT,25944
32,传闻,155783,9038,D2,10,0,430,0,0.00%,0.00%,✧主役采访 · 下期,95625
33,某某 第一季,99154598,1730012,D2,43,28,76982,45082,58.56%,2.61%,伴奏|《梧桐说》,58219
34,再世权臣 第一季,22562284,265249,D2,79,17,24288,11465,47.20%,4.32%,花絮07,71321
35,江医生 第二季,8716975,124416,D2,44,36,13980,13019,93.13%,10.46%,主役版·绝对,85256
36,吞海 第一季,52687233,540014,D2,54,17,45962,28986,63.07%,5.37%,原创配乐·破晓,29187
37,娑婆,2129270,39681,D2,33,22,3943,1324,33.58%,3.34%,第十九集,93178
38,我喜欢你的信息素 第一季,101333819,1524155,D2,48,21,72141,44695,61.96%,2.93%,四千万福利,58217
39,清白之年,647708,15787,D2,25,5,1489,452,30.36%,2.86%,第十集·致橡树,94838
40,我在无限游戏里封神 第一季,75397338,1007468,D2,64,14,77881,43645,56.04%,4.33%,线下漫展VLOG,52347
41,炽火难熄 全一季,489628,22319,D2,19,7,1732,853,49.25%,3.82%,第九集 · Estoy enamorado de ti,94917
42,一颗苹果,14207700,168313,C,82,35,13960,6207,44.46%,3.69%,完结FT · 谢谢光临,90818
43,重生之将门毒后 第二季,42901080,388082,D2,83,26,50984,34365,67.40%,8.86%,破亿福利·白噪音·花灯,52293
44,你的距离,91453563,941614,D2,70,27,78866,56589,71.75%,6.01%,完结FT·主创版,31552
45,将进酒 第二季,73282298,816963,D2,45,22,67589,61405,90.85%,7.52%,第二季完结FT,30383
46,陈年烈苟 第一季,29296520,231910,D2,62,21,21499,14823,68.95%,6.39%,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
47,我喜欢你的信息素 第二季,77154316,852759,D2,43,26,58994,49739,84.31%,5.83%,国风版·星衍,58218
48,再世权臣 第三季（下）,1015443,28112,D2,21,12,2523,2259,89.54%,8.04%,第十二集 ·  雨后风荷,93437
49,失忆后死对头成了我男朋友？,5658822,105791,D2,48,20,7204,4935,68.50%,4.66%,花絮15·恢复,86693
50,某某 第二季,66951919,836207,D2,67,39,68680,51398,74.84%,6.15%,破亿纪念·《正年少》,58220
